<<<<<<< HEAD
model,rmse,mae,mape,split
Naive,3763.722822495888,3493.3984375,4.190940843236864,1
Drift,3429.5495190488136,3156.5279474910194,3.78552675576139,1
ARIMA,4641.633899794269,4335.007491301198,5.203740394791248,1
ETS,3125.9322583735643,2839.4458974079075,3.4039362627565213,1
ETS Damped,3761.24457722077,3490.9880613947303,4.188042887645734,1
Naive,6615.427587839144,4892.202734375,5.424860303543977,2
Drift,6286.643413228678,4725.198836469458,5.254580406765459,2
ARIMA,11823.877676967462,8765.619449666661,9.699411119456883,2
ETS,5992.130442701789,4578.612477388552,5.106490577719599,2
ETS Damped,6615.708934544598,4892.3315293911155,5.424986996945473,2
Naive,4356.700180609253,3702.50078125,3.738742249444603,3
Drift,3929.748232444465,3308.25391969012,3.3391649808184725,3
ARIMA,3387.104645020799,2736.8193067822403,2.8017510523195397,3
ETS,3353.24036143197,2776.123889998265,2.8004764713018204,3
ETS Damped,4349.18196984521,3695.343572691854,3.7314756141547245,3
Naive,7637.858172510272,7122.502734375,6.445047870828706,4
Drift,7187.224270748826,6685.38384909953,6.048554235549612,4
ARIMA,5854.422477144393,4553.009081404141,4.153062088350605,4
ETS,6456.649644499657,5961.7401188739605,5.392175314230434,4
ETS Damped,7003.150991811604,6502.222353912574,5.882203917523656,4
Naive,8477.834945688437,7655.448046875,7.190678308776409,5
Drift,9022.72965228284,8145.651238249079,7.651190368149152,5
ARIMA,11897.309363180291,10606.544480156494,9.969595611236452,5
ETS,10251.35386673061,9243.950572186262,8.682968572310418,5
ETS Damped,9501.912608014953,8582.892057269504,8.06136824391355,5
Naive,6471.843569803541,5950.526953125,5.432093772597677,6
Drift,6002.256052030263,5559.47898027906,5.0796858335241435,6
ARIMA,15904.415450376919,13796.01271780795,12.525444091393044,6
ETS,5191.462175572393,4875.563070575903,4.4633502962277145,6
ETS Damped,6362.072141201123,5859.141642537824,5.349748800574193,6
Naive,1968.7138478304262,1495.989453125,1.3583998296881936,7
Drift,2196.3897237475994,1802.7872089036537,1.6342581390281614,7
ARIMA,5613.528663693406,5390.569899193321,4.837209061567741,7
ETS,2922.523509786265,2760.489450214757,2.4897792997938426,7
ETS Damped,2146.218025369922,1727.0963505015213,1.5664872962241905,7
Naive,1746.2946550343497,1395.703515625,1.223869799327138,8
Drift,1895.2492293459593,1569.0514689282304,1.3811660285487948,8
ARIMA,4782.976053471052,4088.0934006412062,3.62120970973926,8
ETS,2501.5928334069145,2149.4500369348957,1.8996825328909048,8
ETS Damped,1812.5712921911238,1484.5670337277122,1.3049759980893536,8
Naive,1730.9249133770973,1374.8046875,1.2295676249954919,9
Drift,2027.0846327445536,1610.9089511546931,1.443790026781642,9
ARIMA,3946.8575774437413,3180.5691251511116,2.8516918294141442,9
ETS,2717.7566525569623,2170.5551476608766,1.947503494327258,9
ETS Damped,1817.27808116606,1450.3533015745052,1.2982303219893763,9
Naive,11168.401130877297,10696.901171875,8.584548279768908,10
Drift,10669.485429380698,10235.306216082,8.21546683313279,10
ARIMA,4968.458127558018,4480.083481452047,3.6151023299389387,10
ETS,9885.074832118371,9504.138349600147,7.630841600803241,10
ETS Damped,11062.623246689333,10598.82673345679,8.506096535823717,10
Naive,2016.1939076583901,1519.05234375,1.2230640203764342,11
Drift,2460.717381242416,1968.147916022867,1.5836651665985357,11
ARIMA,5622.740180525074,4690.117406094381,3.7673314507161493,11
ETS,3474.535694856445,2877.4360168026265,2.3135532641196317,11
ETS Damped,2396.99174405381,1906.458175861036,1.5341960595065787,11
Naive,5101.907378981996,4801.209375,3.9676973394844746,12
Drift,5651.8241849408,5296.438985875562,4.379565401253557,12
ARIMA,11689.820640574691,10607.583960322412,8.795651745274249,12
ETS,6661.023899764452,6192.933968269559,5.125154236005012,12
ETS Damped,5391.638649070763,5065.765241701418,4.1876312590443705,12
Naive,8434.902718905276,6526.455078125,6.02706734335919,13
Drift,8960.04958134636,7003.820259456072,6.4615839560232295,13
ARIMA,7380.677559074234,5502.178783401459,5.098573961356229,13
ETS,9599.655444659616,7580.908459190504,6.9869995972029235,13
ETS Damped,8396.128576533985,6489.8952632001765,5.993880068369067,13
Naive,8732.262606167154,7523.7296875,8.061007173811381,14
Drift,9149.01523396389,7918.8367178076,8.48041846234522,14
ARIMA,9142.320665760884,7911.991128168743,8.473154727662031,14
ETS,9409.30120580238,8163.507352704984,8.740140067194499,14
ETS Damped,8112.24583336463,6924.448931208863,7.425077923417383,14
Naive,5352.174589568172,4540.321875,4.556726501529789,15
Drift,5035.804600151796,4269.393968762467,4.289823226318718,15
ARIMA,7517.8351513925745,6136.08537178998,6.119920004497234,15
ETS,5040.07126302548,4273.120823935786,4.293492307217167,15
ETS Damped,5856.965483563967,4946.169603602433,4.9557261214404225,15
Naive,1156.8493210423167,931.901171875,0.9367516752140764,16
Drift,1119.1591096173531,978.8071621797105,0.9879849058397604,16
ARIMA,1116.6781465300708,971.8114033623024,0.9805643099580723,16
ETS,1135.7717436614826,1007.8231157405259,1.0182129277846181,16
ETS Damped,1157.0471213294554,931.8375915307006,0.9366804445139595,16
Naive,6487.239490184483,5534.51796875,5.224325781135028,17
Drift,6065.6182708468295,5158.4986353430495,4.868247245617279,17
ARIMA,6045.808350046633,5135.607534415117,4.846218811812569,17
ETS,5992.729305535267,5093.39748173674,4.8065984224342415,17
ETS Damped,6487.950779259031,5535.178367283986,5.224952957567045,17
Naive,4768.580096085095,4110.031640625,4.019423733159499,18
Drift,5201.903774561512,4462.398803777513,4.366014973362721,18
ARIMA,5214.362497327149,4470.581183268953,4.374231965906226,18
ETS,5466.155437165203,4674.963531802859,4.575095451486738,18
ETS Damped,4772.4547355267405,4113.220397809648,4.022560866218418,18
Naive,2522.912132559581,2142.876171875,2.134055066327244,19
Drift,2242.017746492481,1837.0624071378522,1.8308446154969182,19
ARIMA,2062.3825565478123,1642.254858552073,1.6415168258069788,19
ETS,2232.2483367763048,1825.4833962439502,1.8193642044943787,19
ETS Damped,2526.1765407865496,2146.1455356394786,2.1372923087891778,19
Naive,10102.844528923282,9635.633984375,10.436341667820365,20
Drift,10524.943451929348,10021.547970458141,10.856233084968316,20
ARIMA,10246.014131194303,9739.550289008572,10.552702042347844,20
ETS,10647.504966520644,10133.325838487079,10.977855364617733,20
